"CASEID","POINT_X","POINT_Y","YEAR_","LOCATION","CHPTYPE","DAYWEEK","CRASHSEV","VIOLCAT","KILLED","INJURED","WEATHER1","PEDCOL","BICCOL","MCCOL","TRUCKCOL","ETOH","TIMECAT","MONTH_","CRASHTYP","INVOLVE","PED","PRIMARYRD","SECONDRD","DISTANCE","DIRECT","INTERSECT_","PROCDATE","JURIS","DATE_","TIME_","BADGE","JURIDIST","SHIFT","POP","SPECIAL","BEATTYPE","LAPDDIV","BEATCLAS","BEATNUMB","WEATHER2","STATEHW","CALTRANC","CALTRAND","STROUTE","ROUTESUF","POSTPRE","POSTMILE","LOCATYPE","RAMP","SIDEHW","TOWAWAY","PARTIES","PCF","VIOLCODE","VIOL","VIOLSUB","HITRUN","ROADSURF","RDCOND1","RDCOND2","LIGHTING","RIGHTWAY","CHPRDTYP","NOTPRIV","STFAULT","CHPFAULT","SEVINJ","OTHERINJ","COP","PEDKILL","PEDINJ","BICKILL","BICINJ","MCKILL","MCINJURE","RAMP1","RAMP2","CITY","COUNTY","STATE","X_CHP","Y_CHP"
"4990667",-121.44734,38.60641,2011,"3404","0","4","1","00",1,0,"C","Y",,,,,2400,2,"G","B","B","ARDEN WY","EMPRESS ST",0,"E","N","2011-03-22",3404,"2011-02-24",2156,"0241",,"5","7","0","0",,"0","02C","-","N",,,0,,,0,,,,"Y",2,"D","-",0,,"N","B","H","-","C","D","0","Y","-","-",0,0,0,1,0,0,0,0,0,"-","-","SACRAMENTO","SACRAMENTO","CA",0,0
"5042546",-121.50135995,38.4812715796,2011,"3404","0","4","4","10",0,1,"A","Y",,,,,1200,2,"G","B","B","MEADOW VIEW RD","AMHERST ST",17,"E","N","2012-03-29",3404,"2011-02-03",1118,"8164","5A","5","7","0","0",,"0",,"-","N",,,0,,,0,,,,"N",2,"A","-",21950,"A","N","A","H","-","A","A","0","Y","A","01",0,0,1,0,1,0,0,0,0,"-","-","SACRAMENTO","SACRAMENTO","CA",0,0
"5054542",-121.435222125,38.5395454041,2011,"3404","0","4","3","10",0,2,"C","Y",,,,,2100,1,"G","B","B","14TH AV","60TH ST",6,"E","N","2012-03-16",3404,"2011-01-13",2015,"816","6B","5","7","0","0",,"0",,"-","N",,,0,,,0,,,,"N",3,"A","-",21950,"A","N","B","H","-","C","D","0","Y","A","01",0,2,0,0,2,0,0,0,0,"-","-","SACRAMENTO","SACRAMENTO","CA",0,0
"5055729",-121.419912961,38.647246897,2011,"3404","0","1","4","12",0,1,"-","Y",,,,,900,1,"G","B","B","PINELL ST","BELL AV",3,"S","N","2012-03-26",3404,"2011-01-10",633,"8123",,"5","7","0","0",,"0","02A","-","N",,,0,,,0,,,,"N",2,"A","-",22450,"A","N","-","-","-","A","A","0","Y","A","07",0,0,1,0,1,0,0,0,0,"-","-","SACRAMENTO","SACRAMENTO","CA",0,0
"5059603",-121.49563,38.58212,2011,"3404","0","2","4","18",0,1,"A","Y",,,,,1200,1,"G","B","B","I ST","8TH ST",0,,"Y","2012-03-08",3404,"2011-01-04",1105,"420",,"5","7","0","0",,"0",,"-","N",,,0,,,0,,,,"N",2,"C","-",0,,"N","A","H","-","A","A","0","Y","-","-",0,0,1,0,1,0,0,0,0,"-","-","SACRAMENTO","SACRAMENTO","CA",0,0
"5067175",-121.45565,38.60906,2011,"3404","0","1","4","10",0,1,"A","Y",,,,,2100,2,"D","B","B","EL MONTE AV","FORREST ST",0,,"Y","2012-04-04",3404,"2011-02-07",2055,"577","2","5","7","0","0",,"0","00C","-","N",,,0,,,0,,,,"N",2,"A","-",21950,"A","N","A","H","-","C","A","0","Y","A","01",0,0,1,0,1,0,0,0,0,"-","-","SACRAMENTO","SACRAMENTO","CA",0,0
"5067824",-121.50203651,38.5776433025,2011,"3404","0","5","2","10",0,1,"A","Y",,,,,1200,2,"G","B","B","N ST","15TH ST",14,"E","N","2012-03-12",3404,"2011-02-04",1030,"8149","3M","5","7","0","0",,"0",,"-","N",,,0,,,0,,,,"N",2,"A","-",21950,"A","N","A","H","-","A","A","0","Y","A","07",1,0,0,0,1,0,0,0,0,"-","-","SACRAMENTO","SACRAMENTO","CA",0,0
"5070108",-121.494381553,38.5781415679,2011,"3404","0","2","3","11",0,1,"B","Y",,,,,900,1,"G","B","B","10TH ST","L ST",18,"N","N","2012-03-23",3404,"2011-01-04",805,"0685","3","5","7","0","0",,"0","03M","-","N",,,0,,,0,,,,"N",2,"A","-",21456,"B","N","A","H","-","A","A","0","Y","N","60",0,1,0,0,1,0,0,0,0,"-","-","SACRAMENTO","SACRAMENTO","CA",0,0
"5072454",-121.46835,38.5724,2011,"3404","0","1","4","09",0,1,"A","Y",,,,,1800,1,"G","B","B","29TH ST","K ST",0,,"Y","2012-03-09",3404,"2011-01-17",1736,"658","3","5","7","0","0",,"0","00B","-","N",,,0,,,0,,,,"N",2,"A","-",21801,"A","N","A","H","-","C","A","0","Y","A","07",0,0,1,0,1,0,0,0,0,"-","-","SACRAMENTO","SACRAMENTO","CA",0,0
"5074210",-121.48039,38.57559,2011,"3404","0","7","4","10",0,1,"C","Y",,,,,300,1,"G","B","B","20TH ST","K ST",0,,"Y","2012-03-24",3404,"2011-01-02",8,"0286",,"5","7","0","0",,"0",,"-","N",,,0,,,0,,,,"N",2,"A","-",21950,"A","N","B","H","-","C","A","0","Y","A","01",0,0,1,0,1,0,0,0,0,"-","-","SACRAMENTO","SACRAMENTO","CA",0,0
